County,Median Income
Trinity,"53,498"
Siskiyou,"55,499"
Imperial,"56,393"
Modoc,"56,648"
Lake,"58,738"
Sierra,"60,000"
Humboldt,"61,135"
Tehama,"61,834"
Lassen,"64,395"
Mendocino,"64,688"
Plumas,"64,946"
Merced,"65,044"
Mariposa,"65,378"
Del Norte,"66,780"
Kern,"67,660"
Butte,"68,574"
Kings,"68,750"
Tulare,"69,489"
Glenn,"70,487"
Fresno,"71,434"
Shasta,"71,931"
Tuolumne,"72,259"
Inyo,"72,432"
Yuba,"73,313"
Colusa,"75,149"
Sutter,"75,450"
Madera,"75,496"
Stanislaus,"79,661"
Calaveras,"79,877"
Amador,"81,526"
San Bernardino,"82,184"
Nevada,"84,905"
Mono,"86,953"
Los Angeles,"87,760"
San Joaquin,"88,531"
Sacramento,"88,724"
Yolo,"88,818"
Riverside,"89,672"
San Luis Obispo,"93,398"
Monterey,"94,486"
Santa Barbara,"95,977"
Solano,"99,994"
San Diego,"102,285"
Sonoma,"102,840"
El Dorado,"106,190"
Ventura,"107,327"
San Benito,"108,289"
Napa,"108,970"
Santa Cruz,"109,266"
Alpine,"110,781"
Orange,"113,702"
Placer,"114,678"
Contra Costa,"125,727"
Alameda,"126,240"
San Francisco,"141,446"
Marin,"142,785"
San Mateo,"156,000"
Santa Clara,"159,674"