"Time","Food bank"
"2023-05-28",69
"2023-06-04",73
"2023-06-11",62
"2023-06-18",66
"2023-06-25",66
"2023-07-02",62
"2023-07-09",66
"2023-07-16",69
"2023-07-23",72
"2023-07-30",66
"2023-08-06",77
"2023-08-13",71
"2023-08-20",75
"2023-08-27",81
"2023-09-03",61
"2023-09-10",75
"2023-09-17",75
"2023-09-24",74
"2023-10-01",71
"2023-10-08",67
"2023-10-15",71
"2023-10-22",83
"2023-10-29",81
"2023-11-05",77
"2023-11-12",88
"2023-11-19",92
"2023-11-26",100
"2023-12-03",88
"2023-12-10",70
"2023-12-17",75
"2023-12-24",49
"2023-12-31",58
"2024-01-07",53
"2024-01-14",56
"2024-01-21",60
"2024-01-28",59
"2024-02-04",57
"2024-02-11",48
"2024-02-18",54
"2024-02-25",59
"2024-03-03",50
"2024-03-10",50
"2024-03-17",55
"2024-03-24",56
"2024-03-31",50
"2024-04-07",54
"2024-04-14",45
"2024-04-21",45
"2024-04-28",46
"2024-05-05",48
"2024-05-12",43
"2024-05-19",54
"2024-05-26",43